kFjLdqy 0.00000000 -1844.09058749 -68.9235118910 48 24 24 1.88621866 1.91553076 1.92050903 1.95073547 1.95459691 1.96288919 2.38977158 2.40469623 2.40865658 2.42094895 2.42322156 2.42401276 2.42845346 2.44349134 2.44354628 2.44439344 2.44465390 2.46101466 2.47847868 2.47917571 2.47973758 2.48724795 2.48753021 2.49289841 60 1.44842922 1.41059892 1.43655420 1.41179917 1.43682169 1.45725819 1.42794629 1.43535777 1.40295538 1.45552450 1.39926372 1.42749274 1.42977726 1.42339728 1.41052123 1.42949825 1.36433917 1.46952546 1.39680664 1.42986338 1.39678941 1.42960285 1.42307453 1.41048542 1.36425219 1.40057432 1.38087095 1.40054819 1.38080327 1.39964597 1.43087469 1.45847318 1.39807045 1.43004929 1.41431872 1.42485259 1.43705495 1.45425643 1.36112063 1.36696942 1.42384623 1.43227424 1.43925198 1.41247994 1.41902770 1.43445545 1.43544210 1.42894861 1.38743148 1.44110524 1.42982877 1.42571817 1.44092580 1.39996992 1.35790004 1.36529582 1.42964890 1.40879899 1.38905116 1.39827691 24 1.08308296 1.08717458 1.08717990 1.08292548 1.08653343 1.08389227 1.08708543 1.08388480 1.08652706 1.08708713 1.07996618 1.08408735 1.08301985 1.08736415 1.08382541 1.08360073 1.08382275 1.08734075 1.08742724 1.08373148 1.08741223 1.08727224 1.08662672 1.08733900
kFmSeYS 0.00000000 -1844.08688526 -68.7131653227 48 24 24 1.91430601 1.94307506 1.96252224 1.96469873 2.38849644 2.40849667 2.42092251 2.42332693 2.42821417 2.43920466 2.44402615 2.44715401 2.45909120 2.45995439 2.46003911 2.46095482 2.47572717 2.47860369 2.47906693 2.47916025 2.47971625 2.48790868 2.48953385 2.49292800 60 1.41829033 1.44613217 1.41830204 1.42336819 1.43107404 1.42996679 1.42875217 1.42316629 1.41114527 1.38087200 1.44517095 1.44880220 1.44562660 1.37556280 1.42775833 1.35414862 1.40650746 1.46257159 1.39402109 1.43935610 1.36025370 1.43999796 1.40110283 1.43848631 1.42471300 1.40048780 1.39887667 1.39867674 1.38910243 1.43526371 1.39673140 1.43041894 1.40394737 1.45775059 1.43678349 1.36079634 1.41508459 1.45417428 1.42550502 1.43224288 1.41258095 1.42388720 1.43900705 1.36671574 1.43541665 1.38743361 1.44110189 1.41907275 1.42884990 1.43449342 1.44091607 1.35791759 1.42983681 1.39998002 1.42576710 1.42967142 1.40876497 1.36528255 1.39826260 1.38907494 24 1.08808686 1.08728316 1.08730949 1.08499901 1.08743231 1.08735632 1.08791096 1.08723571 1.08666580 1.08720195 1.08129423 1.08807377 1.08300011 1.08725807 1.08361322 1.08368665 1.08377799 1.08733292 1.08741870 1.08740556 1.08374378 1.08733029 1.08662359 1.08726422
kFoZm6S 0.00000000 -1844.08809364 -68.7279671362 48 24 24 1.93118574 1.93595484 1.94292086 1.94395026 2.41268530 2.41567223 2.42074496 2.42344388 2.42599537 2.43416566 2.44134715 2.44486817 2.45932357 2.46039641 2.46273783 2.46991451 2.47461335 2.47844507 2.47942372 2.47971991 2.47982219 2.48765987 2.48940979 2.49167633 60 1.42886983 1.43162090 1.42285978 1.42967472 1.42572792 1.43940538 1.40143945 1.35890080 1.43942294 1.39130306 1.43445291 1.42965469 1.43874526 1.43684705 1.40575856 1.46723123 1.36398568 1.43104827 1.40714424 1.39056979 1.39672079 1.35850915 1.43390634 1.43302640 1.40028289 1.39619540 1.39883420 1.40314484 1.43290279 1.46343942 1.43063155 1.36118430 1.42279092 1.41471663 1.43426974 1.44795477 1.38477641 1.43442356 1.44378659 1.42947190 1.41985109 1.41459226 1.35610089 1.44333795 1.44394221 1.38391963 1.41570518 1.38957709 1.43509030 1.42107262 1.44160628 1.42004730 1.43103163 1.41413363 1.42992459 1.35895982 1.44206081 1.39819082 1.38636453 1.40175912 24 1.08740100 1.08751941 1.08463105 1.08354364 1.08749769 1.08734170 1.08671296 1.08738544 1.08731958 1.08337346 1.08821797 1.08097338 1.08727292 1.08347900 1.08443171 1.08750976 1.08735484 1.08436081 1.08812638 1.08751480 1.08745589 1.08726680 1.08676469 1.08731190
kJiSaIC 0.00000000 -1844.08659027 -68.6391329020 48 24 24 1.97154202 1.99918909 2.00534768 2.37745129 2.38601101 2.42746028 2.43006193 2.43064700 2.43952463 2.44615587 2.45057415 2.45932240 2.45978234 2.46012361 2.46057548 2.46089631 2.47165237 2.47554001 2.47897114 2.47921802 2.48077282 2.48758365 2.48763640 2.48922625 60 1.41800836 1.44580749 1.41874070 1.42302407 1.43191863 1.43016720 1.42903106 1.42249921 1.41170299 1.38142870 1.44477850 1.44700225 1.44526174 1.37717767 1.42851934 1.35447153 1.40771003 1.45929176 1.39314628 1.43971934 1.35999930 1.44032867 1.40055052 1.43461711 1.42279382 1.40574836 1.40400626 1.39925023 1.38856290 1.43554690 1.39204093 1.44299716 1.39683984 1.46826507 1.44216063 1.35472956 1.44090307 1.39371386 1.38921753 1.40575012 1.43811931 1.44647752 1.41196467 1.41692130 1.41763667 1.43015172 1.44532112 1.42960911 1.38195946 1.44233257 1.43082816 1.42646977 1.44259933 1.39795784 1.35650916 1.42728877 1.36688281 1.41117769 1.38675001 1.40029745 24 1.08809555 1.08728990 1.08731595 1.08499495 1.08744200 1.08736859 1.08792582 1.08724712 1.08666596 1.08720965 1.08222167 1.08811518 1.08737329 1.08721808 1.08524448 1.08556577 1.08806181 1.08734464 1.08734943 1.08736533 1.08426942 1.08725341 1.08660669 1.08734390
kJiSnIO 0.00000002 -1844.08493129 -68.7029614512 48 24 24 1.93690004 1.93853878 1.94039177 1.94472622 2.41039896 2.41546033 2.41785432 2.42093656 2.42135051 2.42410668 2.43956449 2.44284410 2.45970355 2.46265708 2.47390955 2.47674477 2.47827986 2.47948636 2.47968972 2.48047889 2.48056885 2.48115942 2.48347139 2.49165924 60 1.42891297 1.43202897 1.42252549 1.42968704 1.42571191 1.43957336 1.40127928 1.35877248 1.43959958 1.39087326 1.43497117 1.43012504 1.43769232 1.43665195 1.40632086 1.46571616 1.36408792 1.43089961 1.40730902 1.39040537 1.39688227 1.35923087 1.43297308 1.43065710 1.40316475 1.39881797 1.39623418 1.39970029 1.43118077 1.47046936 1.43544064 1.35801438 1.43868677 1.39566552 1.43908997 1.42658446 1.40313836 1.43419698 1.41963278 1.42526331 1.42418357 1.44238024 1.38268910 1.44374939 1.44283298 1.41791823 1.41905967 1.43833735 1.36014632 1.43629124 1.38863515 1.43355102 1.43272553 1.41398168 1.41831082 1.35733206 1.44357540 1.39481893 1.40542629 1.38251241 24 1.08740463 1.08752078 1.08461689 1.08355806 1.08749643 1.08734099 1.08671390 1.08738881 1.08731904 1.08338801 1.08822719 1.08118486 1.08730982 1.08333534 1.08461495 1.08813692 1.08344525 1.08743653 1.08806147 1.08743215 1.08746049 1.08731446 1.08675201 1.08723390
kJjBTqq 0.00000000 -1844.09032644 -68.8482834430 48 24 24 1.89246204 1.91934194 1.95607867 2.00384071 2.00522134 2.38009037 2.38708705 2.38811343 2.42528160 2.42873825 2.43141700 2.44364830 2.44368929 2.44411750 2.44440529 2.45042556 2.46045819 2.46125294 2.47133714 2.47905987 2.48084966 2.48708260 2.48723122 2.48744003 60 1.44646405 1.41162682 1.43668834 1.41265923 1.43685866 1.45448094 1.42872853 1.43118968 1.40807919 1.45327837 1.40470478 1.42828780 1.42955427 1.42411325 1.41007723 1.42928872 1.36388396 1.46941748 1.39718525 1.42959380 1.39716615 1.42942352 1.42385415 1.41003211 1.36379541 1.40018845 1.38128487 1.40016321 1.38123610 1.39263740 1.43091359 1.46901966 1.39344076 1.44271682 1.44024648 1.38838152 1.44238559 1.39385085 1.35502312 1.41226695 1.43800785 1.41685177 1.40573860 1.44669101 1.38186618 1.44525524 1.44248740 1.41740862 1.42971384 1.43024119 1.35636690 1.44279870 1.43069261 1.39788994 1.42631851 1.42740402 1.41120509 1.36677209 1.40036136 1.38671493 24 1.08313106 1.08724013 1.08724866 1.08297311 1.08661873 1.08391753 1.08714986 1.08391111 1.08661259 1.08715447 1.08097135 1.08411447 1.08742305 1.08738464 1.08574607 1.08529418 1.08810581 1.08741685 1.08740835 1.08742262 1.08433706 1.08738498 1.08669234 1.08730433
kJmIUYK 0.00000000 -1844.08709143 -68.6435257065 48 24 24 2.00494704 2.00559380 2.03585943 2.38355107 2.38475773 2.38577818 2.38891643 2.43063106 2.44319676 2.44642738 2.45054771 2.45812091 2.45897854 2.45988286 2.46068035 2.46258147 2.47155945 2.47546397 2.47897492 2.47922918 2.48077352 2.48733822 2.48760215 2.48911504 60 1.41808117 1.44561914 1.41854511 1.42304663 1.43221529 1.43028697 1.42905096 1.42251346 1.41175694 1.38152210 1.44481549 1.44671658 1.44506651 1.37781772 1.42772824 1.35473664 1.40730275 1.45820794 1.39331005 1.43966099 1.36003753 1.44033906 1.40056661 1.43482607 1.42281264 1.40915955 1.40077129 1.39925263 1.38854718 1.43576042 1.39110074 1.46880903 1.39780196 1.44138042 1.44148949 1.44002706 1.39422330 1.35615907 1.38811670 1.40564879 1.43835906 1.44683478 1.41229635 1.41663773 1.41760173 1.44529915 1.42968319 1.43007571 1.38204916 1.44223931 1.43083333 1.44257958 1.39797370 1.42645355 1.35653422 1.42724869 1.41121448 1.36692692 1.38673076 1.40029710 24 1.08809699 1.08729188 1.08734108 1.08516352 1.08742228 1.08737000 1.08801046 1.08724814 1.08667520 1.08721231 1.08540570 1.08570463 1.08732818 1.08734578 1.08523719 1.08571571 1.08804090 1.08734409 1.08734251 1.08736523 1.08427112 1.08661256 1.08725492 1.08734469
kJoPZVI 0.00000000 -1844.08627575 -68.7817415789 48 24 24 1.93012469 1.94124424 1.94136846 1.98143827 2.00630769 2.38176841 2.38253240 2.39290765 2.40733774 2.41971477 2.42090424 2.42317657 2.42398751 2.43185939 2.44964419 2.46111763 2.47113682 2.47410802 2.47442006 2.47899654 2.48097825 2.48154149 2.48205725 2.48728243 60 1.43741227 1.43227691 1.42786338 1.43010879 1.42340502 1.43173000 1.39368198 1.35957745 1.43683108 1.42377850 1.42829519 1.42782239 1.43469879 1.42916051 1.43218287 1.43699639 1.43469108 1.36402533 1.42999702 1.43511684 1.42715446 1.43917089 1.40206305 1.46802840 1.36236814 1.43046519 1.42734172 1.42736272 1.40598854 1.36113710 1.43197154 1.40427207 1.39187588 1.39354451 1.35927488 1.43424499 1.43800119 1.39630348 1.39066065 1.40301683 1.43937741 1.44816180 1.41063454 1.41771904 1.41666835 1.42966550 1.44608703 1.42972394 1.38117552 1.44265784 1.43076229 1.42630120 1.44308104 1.39757777 1.35621401 1.36711152 1.42702081 1.41160785 1.38636449 1.40072073 24 1.08739219 1.08315261 1.08343485 1.08339337 1.08488815 1.08737808 1.08345568 1.08324688 1.08740009 1.08731526 1.08732398 1.08669896 1.08334551 1.08742489 1.08534149 1.08522885 1.08811600 1.08742429 1.08743384 1.08438810 1.08743458 1.08731973 1.08671326 1.08740293
kJoPc6K 0.00000000 -1844.08555880 -68.7058189066 48 24 24 1.94544723 1.95000847 1.97723768 1.97901057 2.38816067 2.39119537 2.41463310 2.41863924 2.41952753 2.41981256 2.42169037 2.42233232 2.45976496 2.46281989 2.47387560 2.47658841 2.47792412 2.47949946 2.47965628 2.48016804 2.48038993 2.48120527 2.48343832 2.49125973 60 1.42898867 1.43238115 1.42272927 1.42974143 1.42580131 1.43954690 1.40130256 1.35881179 1.43949205 1.39102507 1.43492628 1.42926080 1.43746773 1.43641228 1.40568653 1.46438471 1.36412089 1.43090034 1.40734029 1.39038787 1.39686307 1.36002372 1.43294742 1.43080813 1.39899367 1.40308376 1.39578044 1.40028320 1.43135584 1.43552198 1.46900458 1.43781560 1.39510493 1.35876571 1.43882975 1.42653712 1.40328508 1.43456803 1.41949134 1.42543339 1.44213122 1.42425463 1.38274498 1.44374294 1.44278711 1.41798655 1.43841713 1.41908765 1.36018854 1.43628888 1.38868224 1.43357447 1.43273361 1.41394107 1.41831630 1.35734591 1.44355198 1.39484786 1.40540842 1.38251678 24 1.08740215 1.08749463 1.08484890 1.08362811 1.08749425 1.08734104 1.08671757 1.08738576 1.08742841 1.08345504 1.08528719 1.08518933 1.08741613 1.08340605 1.08483370 1.08811422 1.08352596 1.08743512 1.08806143 1.08745869 1.08742688 1.08731387 1.08723405 1.08675656
kJyyyG8 0.00000000 -1844.08561889 -68.7044717669 48 24 24 1.91343547 1.96205603 1.98199507 2.00672769 2.38066419 2.39501882 2.39799487 2.40515639 2.41734202 2.43117856 2.43810759 2.44903781 2.45886321 2.45891514 2.46033647 2.46996650 2.47109515 2.47474852 2.47885718 2.47944327 2.48099268 2.48782363 2.48795868 2.49027153 60 1.41622133 1.44432173 1.41902980 1.42181365 1.43398823 1.43079118 1.42952813 1.42126136 1.41311222 1.38289481 1.44418134 1.43793917 1.44485690 1.38167601 1.42687830 1.35554085 1.41193877 1.45233669 1.39125936 1.44081808 1.35951870 1.44134413 1.39921406 1.42744844 1.42074263 1.44982332 1.41836112 1.40067984 1.38734060 1.41974590 1.41575917 1.46152818 1.37082733 1.43924737 1.43853336 1.43171658 1.39769297 1.39367085 1.36018286 1.44079777 1.40142973 1.44924150 1.40850880 1.41888718 1.44694605 1.41626990 1.42967228 1.38039104 1.44286408 1.42925460 1.44322269 1.43095118 1.39732881 1.35609935 1.42641301 1.42657814 1.41193018 1.36744643 1.40099746 1.38607034 24 1.08809355 1.08729137 1.08742528 1.08458806 1.08743978 1.08738680 1.08368784 1.08725900 1.08668194 1.08721162 1.08390983 1.08372581 1.08294358 1.08740131 1.08498485 1.08526411 1.08804749 1.08734826 1.08734612 1.08430053 1.08736016 1.08661352 1.08734813 1.08725141
